Municipios,Nome do Conflito,Familias,Area
Acrelandia,Ramal Campo Novo,45,
Acrelandia,Faz. do Senhor Viana/Ramal da 7/Estrada AC-475/GI. Porto,28,
Acrelandia,Faz. do Zé Capim/BR-364/Km 105,40,1800
Acrelandia,Ocupagao do Baiano,38,
Acrelandia,Faz. Grauna/BR-364,80,2000
Acrelandia,Fazenda Canaa,72,
Acrelandia,Fazenda Jéssica,72,
Acrelandia,Fazenda Zé Juina,50,
Acrelandia,Faz. da Rondobras/BR-364/Km 105/Gleba Porto Luiz,12,14000
Acrelandia,Seringal Fortaleza,60,
Acrelandia,Fazenda do Dr. Roberto,60,2000
Acrelandia,Seringal Porto Dias,80,
Acrelandia,Faz. Sara/Gleba Porto Luiz,30,
Acrelandia,Seringal Triunfo/Ramal do Pelé,129,5200
Acrelandia,Faz. Girassol/Ocup. do Brito,14,
Boca do Acre/Rio Branco,Faz. Uniao/Cruzeirinho,214,2000
Boca do Acre/Rio Branco,Seringal Cameta,30,
Boca do Acre/Rio Branco,Ocup. do Vinha/Ramal Sao Francisco/Km 60,25,
Boca do Acre/Rio Branco,Faz. Palotina/Seringal Novo Natal,160,
Boca do Acre/Rio Branco,Gl. Novo Axioma Redengao/Km 90/Ramal Sta. Helena,28,1350
Boca do Acre/Rio Branco,Seringal Entre Rios/Ramal do 52,39,122000
Boca do Acre/Rio Branco,Seringal Europa,30,
Boca do Acre/Rio Branco,Seringal Entre Rios/Ramal do 64,15,
Boca do Acre/Rio Branco,Gl. Novo Axioma Redengao/Ramal do Km 104,33,
Boca do Acre/Rio Branco,Ramal do 37/Seringal Entre Rios/Recreio do Sto. Anténio/GI.,31,
Boca do Acre/Rio Branco,Ramal do Garrafa,60,
Boca do Acre/Rio Branco,Seringal Bananeira,26,
Boca do Acre/Rio Branco,Seringal Andarai,120,
Boca do Acre/Rio Branco,Seringal Perseveranca,25,
Boca do Acre/Rio Branco,Seringal Codd/PAE Antimary,23,260000
Boca do Acre/Rio Branco,Seringal Pirapora,322,5000
Boca do Acre/Rio Branco,Seringal Macapa,114,5302
Boca do Acre/Rio Branco,Seringal Bom Lugar/Com. Nova Vida,,56000
Boca do Acre/Rio Branco,Seringal Novo Axioma Redengao/Ocup. do Diva,,47000
Boca do Acre/Rio Branco,Seringal Entre Rios/Ramal Sao Francisco/Faz. do Km 60/Faz.,,
Boca do Acre/Rio Branco,Seringal Igarapé Grande,,380
Boca do Acre/Rio Branco,Seringal Porto Central,,13600
Bujari,Faz. Canary/Ramal do Cacau,,15800
Cruzeiro do Sul,Comunidade Socd,,1500
Rio Branco,Seringal Cachoeira,,10780
Rio Branco,Seringal Sao Bernardo,,60000
Senador Guiomard/ Capixaba,Seringal Capatara,,44420
Subtotal:,56,,670132
Alagoas Traipu Sao Miguel dos Campos Sao Miguel dos Campos Rio Largo Subtotal:,Acamp. Rosaldo Augusto/Faz. Varzea Grande/Us. Utinga Fazenda Raio do Sol Faz. Giritana/Usina Sinimbu Faz. Santa Cruz/Usina Sinimbu 4,310 100 180 20 10,500 536 17 19
Amapa Amapa Amapa Amapa Amapa Amapa Cutias Calgoene Calcoene Calcgoene do Araguari Ferreira Gomes Ferreira Gomes,Alta Juncal Cunani Ramal Floresta/Gurupora Ilha e 7 Grande Ilhas Sao Roque/Redondo Com. ao Longo do Rio Laranjeiras/Amapa Grande/Piquia Ramal do Triunfo Faz. Minerva/CAPAB Igarapé do Palha/Amcel Faz. ltapoa/Amcel/Piquia Base Aérea/Localidade Proxima ao Cruzeiro,20 40 30 30 30 34 15 15 15 10 1,45000 37511 30000 16000 3000 1000 14400 2500 3600 500 700
Itaubal Itaubal do do Piririm Piririm,Areas Com. Quil. em lItaubal/Agronegocio Sao Miguel do Macacoari Sinal Verde/Boa Vista da Pedreira,20 20,2000 700
Macapa Macapa Macapa Macapa Macapa,Abacate do Pedreira/Rio Fugido ao Rio Pacui Santo Antdénio da Pedreira Com. Casa Grande/Porto Norte/APA Curiau Santa Luzia/Sa0 Tomé/Rio Pacui/10 Comunidades Proximas Recanto das Araras/Km 32-BR-156,200 20 20 30 50,3000 280 800 338 500
Macapa Macapa Macapa Macapa Macapa Macapa Mazagao Porto Grande Pedra Mazagao Mazagao Branca do Amapari Macapa Macapa/ Mazagao Itaubal do Piririm,Ariri Piririm/Pacui Quilombo Porto Bailique-Foz do Céu do Ambé Jupati Assentamento Quilombo Conceigao Pancada do do Macacoari Camaipi Assentamento Centro Piquiazal Novo Extrativista do Maraca Assent. Osmar Ribeiro/Ramal do Abacate/Km 34/EFA Km 117 da EFA P. A. Anauerapucu,100 20 20 50 30 100 23 5 20 15 6 80 30 10,20000 1200 500 2300 2800 3000 1500 30 2000 3000 8475 635 300 3000
Porto Porto Grande Grande Porto Grande,Area Sitio Sao da Codepa/Km Francisco/Igarapé 92 Gravata P. A. Nova Canaa,22 2 1,2700 150 3169
Santana Serra do Navio Serra do Navio,Assentamento Silvestre Ramal da Raquel Pau Furado/Matapi/MMX,20 12 15,2000 640 600
Tartarugalzinho Tartarugalzinho Tartarugalzinho Tartarugalzinho Tartarugalzinho Tartarugalzinho Tartarugalzinho Tartarugalzinho Subtotal:,Assentamento Agroextrativista do Tartarugal Grande Area Campo na Belo Margem Direita do Rio Itaubal/SAo Raimundo Redengao do Araguari Ponta Ramal Uapezal do do Socorro Ariramba e Vareiro Faz. Novo Horizonte/Amcel 46,1285 20 20 50 2 1 5 5 1,237975 10744 2261 2000 500 1192 1200 100 150
Autazes,Aldeia Sao Félix,120,
Boca do Acre Barcelos/ Santa Isabel do Rio Negro,T.I. Jurubaxi-Téa Aldeia Sao Paulino/Paolino,226 23,1208 8
Boca do Acre,T. |. Camicua,113,59000
Canutama Boca do Acre,Resex Arapixi Floresta Nac. Balata Tufari/Rio Mucuim/Com. Lua Nova e,300 16,133637
Canutama,Floresta Estadual/Com. Vila Souza,17,
Canutama,Km 46/BR-319/P. A. Sao Francisco/Linha 4/Vicinal Cajui,65,
Canutama,Resex/Com. Nova Vista,15,
Canutama Fonte Boa/ Tonantins/ Japura,T. Gleba | Mapari/indios C-1/Igarapé Kaixana Araras,316 36,157416 9000
lranduba lranduba/ Manacapuru/ Novo Airao,Gleba Ramal Igarapé do Agua do Branca/Ramal Bode do Acajatuba/14 Comunidades,468 120,
Jutai/ Atalaia do Norte/ Benjamin Constant/ Sao Pa,T. |. Vale do Javari,,8527000
Labrea/ Boca do Acre,T. |. Apurina Km 124 BR-317,,42000
Nova Olinda do Norte,Aldeias no PAE Abacaxis/Pilao e Terra Preta/Povo Maragua,,
Parintins,P. A. Gleba Vila Amazénia,,78270
Presidente Figueiredo/ Itacoatiara/ Novo Airao/ Uru,T. |. Waimiri Atroari/Linhao de Tucurui/PAC,,2585910
Tefé,T. |. Porto Praia,,5000
Subtotal:,42,,11598449
Andorinha,Comunidade Surara,180,217
Baiandpolis/ Santana/ Serra Dourada/ Tabocas do,Larga da Porteira Santa Cruz/Luiz Martins/Torrada/Cachoeira/Cercado,,18000
Barra,Fazenda Encosta,,3700
Barra,Comunidade Ribeirao,,600
Barra do Choga,Estancia Temaki/Acamp. Marcio Matos,230,
