uf,municipio,nome_conflito,familias,area
Acre,Acrelândia,Fazenda Jéssica,72,
Acre,Acrelândia,Faz. do Senhor Viana/Ramal da 7/Estrada AC-475/Gl. Porto Luiz,28,
Acre,Acrelândia,Fazenda do Dr. Roberto,60,2000
Acre,Acrelândia,Faz. da Rondobrás/BR-364/Km 105/Gleba Porto Luiz,12,14000
Acre,Acrelândia,Faz. do Zé Capim/BR-364/Km 105,40,1800
Acre,Acrelândia,Faz. Graúna/BR-364,80,2000
Acre,Acrelândia,Fazenda Canaã,72,
Acre,Acrelândia,Seringal Fortaleza,60,
Acre,Acrelândia,Ramal Campo Novo,45,
Acre,Acrelândia,Seringal Porto Dias,80,
Acre,Acrelândia,Ocupação do Baiano,38,
Acre,Acrelândia,Fazenda Zé Juína,50,
Acre,Acrelândia,Faz. Girassol/Ocup. do Brito,14,
Acre,Acrelândia,Seringal Triunfo/Ramal do Pelé,129,5200
Acre,Acrelândia,Faz. Sará/Gleba Porto Luiz,30,
Acre,Boca do Acre/Rio Branco,Seringal Perseverança,25,
Acre,Boca do Acre/Rio Branco,Seringal Pirapora,322,5000
Acre,Boca do Acre/Rio Branco,Seringal Macapá,114,5302
Acre,Boca do Acre/Rio Branco,Seringal Bom Lugar/Com. Nova Vida,69,56000
Acre,Boca do Acre/Rio Branco,Seringal Novo Axioma Redenção/Ocup. do Diva,48,47000
Acre,Boca do Acre/Rio Branco,Seringal Andaraí,120,
Acre,Boca do Acre/Rio Branco,Seringal Igarapé Grande,26,380
Acre,Boca do Acre/Rio Branco,Seringal Bananeira,26,
Acre,Boca do Acre/Rio Branco,Seringal Entre Rios/Ramal São Francisco/Faz. do Km 60/Faz. Savana,28,
Acre,Boca do Acre/Rio Branco,Seringal Cajueiro,25,
Acre,Boca do Acre/Rio Branco,Faz. União/Cruzeirinho,214,2000
Acre,Boca do Acre/Rio Branco,Seringal Entre Rios/Ramal do 52,39,122000
Acre,Boca do Acre/Rio Branco,Seringal Europa,30,
Acre,Boca do Acre/Rio Branco,Seringal Entre Rios/Ramal do 64,15,
Acre,Boca do Acre/Rio Branco,Ramal do 37/Seringal Entre Rios/Recreio do Sto. Antônio/Gl. Pauene,31,
Acre,Boca do Acre/Rio Branco,Seringal Cametá,30,
Acre,Boca do Acre/Rio Branco,Faz. Palotina/Seringal Novo Natal,160,
Acre,Boca do Acre/Rio Branco,Ramal do Garrafa,60,
Acre,Boca do Acre/Rio Branco,Gl. Novo Axioma Redenção/Ramal do Km 104,33,
Acre,Boca do Acre/Rio Branco,Gl. Novo Axioma Redenção/Km 90/Ramal Sta. Helena,28,1350
Acre,Boca do Acre/Rio Branco,Ocup. do Vinha/Ramal São Francisco/Km 60,25,
Acre,Boca do Acre/Rio Branco,Seringal Bom Lugar/Ramal do Espigão,300,
Acre,Boca do Acre/Rio Branco,Seringal Porto Central,300,13600
Acre,Boca do Acre/Rio Branco,Seringal Codó/PAE Antimary,23,260000
Acre,Boca do Acre/Rio Branco,Gleba Francisco Sevalha,180,500000
Acre,Boca do Acre/Rio Branco,P. A. Monte,700,
Acre,Bujari,Faz. Canary/Ramal do Cacau,400,15800
Acre,Bujari,Seringal Mercês,300,
Acre,Cruzeiro do Sul,Seringal Valparaíso,130,
Acre,Cruzeiro do Sul,Comunidade Socó,14,1500
Acre,Cruzeiro do Sul,Seringal Russas,80,
Acre,Feijó,T. I. Katukina/Kaxinawa/Aldeias Paredão/Paroá/Pupunha/Belo Monte,314,23474
Acre,Manoel Urbano,Seringal Novo Destino,70,9600
Acre,Manoel Urbano,Seringal Itatinga,21,17000
Acre,Manoel Urbano,Seringal Afluente,20,
Acre,Manoel Urbano,Seringal Areis,101,
Acre,Manoel Urbano,Seringal Porto Central,18,15000
Acre,Manoel Urbano,Seringal Barcelona,15,
Acre,Manoel Urbano,Seringal São Salvador,15,
Acre,Manoel Urbano,Seringal Santa Cruz,20,
Acre,Manoel Urbano,Seringal Mercejana,15,
Acre,Plácido de Castro,Faz. Luiz Gomes/Seringal Capatará,80,6000
Acre,Porto Walter,Ramal do Besouro/Seringal Nazaré,100,
Acre,Rio Branco,Seringal Cachoeira,7,10780
Acre,Rio Branco,Seringal Humaitá,20,
Acre,Rio Branco,Seringal São Bernardo,22,17000
Acre,Rio Branco,Seringal Belo Horizonte,100,
Acre,Rio Branco,Seringal São Francisco do Iracema,300,
Acre,Rio Branco,Seringal São Francisco do Espalha,350,
Acre,Rio Branco,Seringal Macapá,300,
Acre,Rio Branco,Centro Huwã Karu Yuxibu/Com. Indígena Huni Kuin/APA do Igarapé São Francisco,10,10
Acre,Sena Madureira,Seringal Novo Amparo/Ramal do 15,15,
Acre,Sena Madureira,Seringal Novo Amparo/Ramal do 25,15,
Acre,Sena Madureira,Seringal Novo Amparo/Ramal do 38/Ramal do Ouro,15,
Acre,Sena Madureira,Seringal Novo Amparo/Ramal do 17,15,
Acre,Senador Guiomard/ Capixaba,Seringal Capatará,97,44420
Acre,Xapuri,Seringal Nova Esperança,19,
Acre,Xapuri,Seringal Lua Cheia,15,
Acre,Xapuri,Seringal São Pedro,15,
Acre,Subtotal = 74,,6809,1198216
Alagoas,Feliz Deserto,Fazenda Mangabeira,,
Alagoas,Flexeiras,Assentamento Sebastião Gomes,114,1050
Alagoas,Ibateguara,Fazenda Catangy,,
Alagoas,Japaratinga,Sítio Copaoba/CC Empreendimentos Imobiliários,,
Alagoas,Maragogi,Fazenda Carão,15,
Alagoas,Maragogi/ Porto Calvo,Faz. Junco/Us. Central Barreiros,250,1200
Alagoas,Marechal Deodoro,Área da Carhp/Acamp. Boca da Caixa,30,130
Alagoas,Murici,Fazenda Bota Velha,100,600
Alagoas,Murici,Faz. Tabocal/Duarte/Ilha,25,
Alagoas,Porto Calvo,Fazenda Boa Esperança,87,600
Alagoas,Porto Calvo,Fazenda Mata Redonda,102,
Alagoas,São Miguel dos Milagres,Fazenda Itabatinga/Povoado Porto da Rua/Acamp. Cabanos,80,
Alagoas,São Miguel dos Milagres,Sítio Dona Bela,,
Alagoas,Taquarana,Fazenda Andre Quice,,
Alagoas,União dos Palmares,Usina Laginha,,
Alagoas,Subtotal = 15,,803,3580
Amazonas,Autazes,T. I. Jauary,315,24831
Amazonas,Autazes,T. I. Murutinga/Tracajá/Aldeia Terra Preta,383,13286
Amazonas,Autazes,T. I. Patauá,47,765285
Amazonas,Boca do Acre,Resex Arapixi,300,133637
Amazonas,Boca do Acre,T. I. Jaminawa do Caiapucá/Aldeia Samaúma,,
Amazonas,Canutama,Km 46/BR-319/P. A. São Francisco/Linha 4/Vicinal Cajuí,65,
Amazonas,Canutama,Resex/Com. Nova Vista,15,
Amazonas,Canutama,Floresta Estadual/Com. Vila Souza,17,
Amazonas,Canutama,Faz. Jaó/Km 32/BR-319,,
Amazonas,Careiro,T. I. Lago do Piranha,50,
Amazonas,Iranduba,Gleba Igarapé do Bode,120,
Amazonas,Iranduba/ Manacapuru/ Novo Airão,Comunidade Grande Vitória,31,
Amazonas,Itacoatiara,Com. Rondon I e II/N. Sra. Aparecida do Jamanã/Jesus é Meu Rei,600,5142
Amazonas,Japurá/ Nova Olinda do Norte,Aldeia Nova Canaã/T. I. Paraná do Boá-Boá,30,
Amazonas,Jutaí/ Atalaia do Norte/ Benjamin Constant/ São Paulo de Olivença,T. I. Vale do Javari,1000,8527000
Amazonas,Lábrea,Com. Capiaã/Capiã,150,
Amazonas,Lábrea,Ramal Tauaruhã,40,
